endTime,artistName,trackName,msPlayed
2019-09-23 07:23,Alabama Shakes,Sound & Color,74389
2019-09-23 07:24,Jasmine Thompson,Cherry Wine,51318
2019-09-23 07:27,Corey Kilgannon,"Some Things Are Better Left Unsaid, Yes?",127509
2019-10-17 03:15,French Montana,Migo Montana,75196
2019-10-17 03:17,Lauv,Enemies,90858
2019-10-17 03:19,Shawn Mendes,If I Can't Have You - Gryffin Remix,139050
2019-10-17 03:25,Gryffin,Just For A Moment (feat. Iselin),254556
2019-10-17 03:29,Vance Joy,Saturday Sun,214720
2019-10-17 04:59,Maroon 5,Memories,13072
2019-10-17 04:59,88-Keys,That's Life (feat. Mac Miller & Sia),2069
2019-10-17 05:02,Post Malone,Circles,215280
2019-10-17 05:03,blackbear,hot girl bummer,20201
2019-10-17 05:03,Tones And I,Dance Monkey,23222
2019-10-17 05:03,Travis Scott,HIGHEST IN THE ROOM,2972
2019-10-17 05:04,Harry Styles,Lights Up,1880
2019-10-17 05:14,Juice WRLD,Lucid Dreams,13653
2019-10-17 05:28,Young the Giant,My Body,3872
2019-10-17 05:32,SAINt JHN,Roses - Imanbek Remix,5962
2019-10-17 05:32,Hoodie Allen,100 Percent of Something,31242
2019-10-17 05:33,RL Grime,Light Me Up,58229
2019-10-17 05:33,Young the Giant,My Body,15264
2019-10-17 05:36,Rachel Platten,Fight Song,52512
2019-10-17 05:36,Echosmith,Tell Her You Love Her,159786
2019-10-17 05:39,Nate Ruess,Nothing Without Love,13663
2019-10-17 05:39,Timbaland,Apologize,1023
2019-10-17 05:40,The Goo Goo Dolls,Iris,1418
2019-10-17 05:40,Robin Schulz,Sugar (feat. Francesco Yates),10815
2019-10-17 05:40,The Fray,How to Save a Life,1226
2019-10-17 05:40,Enrique Iglesias,Bailando - Spanish Version,2154
2019-10-17 05:40,Beyoncé,Run the World (Girls),53
2019-10-17 05:40,John Mayer,Waiting On the World to Change,138
2019-10-17 05:40,Sia,Elastic Heart,1845
2019-10-17 05:40,John Mayer,Dreaming with a Broken Heart,1834
2019-10-17 05:40,Fetty Wap,Trap Queen,3349
2019-10-17 05:40,Robin Schulz,Headlights (feat. Ilsey),0
2019-10-17 05:40,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,1397
2019-10-17 05:41,Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",9493
2019-10-17 05:41,Salt-N-Pepa,Push It,2101
2019-10-17 05:56,JAY-Z,Ni**as In Paris,7680
2019-10-17 06:00,ILLENIUM,Good Things Fall Apart (with Jon Bellion),216668
2019-10-17 06:00,Vance Joy,Saturday Sun,4495
2019-10-17 06:03,Andy Grammer,Smoke Clears,26304
2019-10-17 06:03,Jon Bellion,Stupid Deep,178176
2019-10-17 06:03,Wrabel,11 Blocks,1674
2019-10-19 19:27,Chelsea Cutler,You're Not Missing Me,138481
2019-10-19 19:28,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,1664
2019-10-19 19:28,Backstreet Boys,Don't Go Breaking My Heart,16874
2019-10-19 19:31,Danrell,Hostage,195857
2019-10-19 19:33,DREAMERS,Sweet Disaster,8170
2019-10-19 19:33,Lauv,I Like Me Better,16762
2019-10-19 19:37,Khalid,Better,229400
2019-10-19 19:48,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),18677
2019-10-19 19:48,Grouplove,Tongue Tied,46665
2019-10-19 19:51,Bazzi,Star,169872
2019-10-19 19:51,Bazzi,Star,735
2019-10-19 19:51,Playboi Carti,Shoota (feat. Lil Uzi Vert),21904
2019-10-19 19:55,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),221746
2019-10-19 19:56,Bazzi,Star,54713
2019-10-19 19:57,Lil Tecca,Ransom,81023
2019-10-19 20:00,SAYGRACE,You Don't Own Me (feat. G-Eazy),4064
2019-10-19 20:00,Quinn XCII,Autopilot,47861
2019-10-19 20:04,Sia,"Genius (feat. Sia, Diplo, and Labrinth)",213706
2019-10-19 20:07,Sia,"Genius (feat. Sia, Diplo, and Labrinth) - Lil Wayne Remix",14869
2019-10-19 20:07,Sia,"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",195746
2019-10-19 20:08,Ellie-Louise Delacruz,Twilight After Night,586
2019-10-19 20:08,Sia,"Mountains (feat. Sia, Diplo, and Labrinth)",31349
2019-10-19 20:08,Adam Melchor,Means To A Mend,5397
2019-10-19 20:08,Koa Ross,Raptor King,1727
2019-10-19 20:08,Delta Sleep,Sans Soleil (acoustic Demo),4437
2019-10-19 20:08,The Dodos,The Surface,7530
2019-10-19 20:08,Fast Animals and Slow Kids,Non potrei mai,1301
2019-10-19 20:08,Fruit Bats,The Bottom of It,2250
2019-10-19 20:09,Vampire Weekend,Unbearably White,25973
2019-10-19 20:09,M. Craft,Dragonfly,18368
2019-10-19 20:12,I'm From Barcelona,Always Spring,163530
2019-10-19 20:14,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),20085
2019-10-19 20:14,Those Dancing Days,I'll Be Yours,118911
2019-10-19 20:15,Joseph Arthur,Honey And The Moon,83306
2019-10-19 20:16,The Moldy Peaches,Anyone Else But You,33098
2019-10-19 20:17,Albert Hammond Jr,In Transit,36053
2019-10-19 20:17,Black Kids,I'm Not Gonna Teach Your Boyfriend How to Dance with You,47946
2019-10-19 20:18,Brandon Flowers,Crossfire,18741
2019-10-19 20:19,Get Cape. Wear Cape. Fly,Once More with Feeling,45866
2019-10-19 20:19,Mando Diao,You Can't Steal My Love,17333
2019-10-19 20:20,Alan Gogoll,Friendly Elephants (Remastered),71093
2019-10-19 21:19,Alan Gogoll,Kindling (Remastered),140898
2019-10-19 21:22,Alan Gogoll,Owl's Friend (Remastered),158545
2019-10-19 21:25,Alan Gogoll,Grizzly Caterpillar (Study Version),182880
2019-10-19 21:27,Alan Gogoll,Blossom,113275
2019-10-19 21:30,Alan Gogoll,Echidna's Parade (Remastered),192168
2019-10-19 21:31,Alan Gogoll,Massive Mammal (Remastered),83563
2019-10-19 21:32,Alan Gogoll,Eloquent Frog (Remastered),52607
2019-10-19 21:34,Alan Gogoll,Mulberry Mouse (Remastered),126037
2019-10-19 21:35,Alan Gogoll,Button on Brown (Remastered),64765
2019-10-19 21:37,Alan Gogoll,Whimsical Toad (Remastered),127988
2019-10-19 21:39,Alan Gogoll,Bellflower Burrows (Remastered),141734
2019-10-19 21:43,Alan Gogoll,Bell's Harmonic (Remastered),225419
2019-10-19 21:45,Alan Gogoll,One Line Fox (Remastered),139226
2019-10-19 21:45,Alan Gogoll,Grizzly Caterpillar (Remastered),8886
