,artist,album,track
0,LANY,LANY,ILYSB
1,Electric Light Orchestra,A New World Record,Livin' Thing
2,Houndmouth,Little Neon Limelight,Sedona
3,Conan Gray,Sunset Season,Crush Culture
4,Flo Rida,My House,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)"
5,Sweater Beats,Glory Days (feat. Hayley Kiyoko),Glory Days (feat. Hayley Kiyoko) - Party Pupils Remix
6,Migos,Culture II,Narcos
7,Electric Guest,Plural,Oh Devil
8,Sean McVerry,Creature Comfort,Creature Comfort
9,Iron & Wine,Our Endless Numbered Days,Sunset Soon Forgotten
10,Matthew Wilder,'80s Pop Hits,Break My Stride
11,Bruce Hornsby,Greatest Radio Hits,The Way It Is - Remastered
12,Gotye,Making Mirrors,Somebody That I Used To Know
13,AJR,The Click,I'm Not Famous
14,Post Malone,beerbongs & bentleys,Ball For Me (feat. Nicki Minaj)
15,The Head and the Heart,The Head and the Heart,Lost in My Mind
16,Grizfolk,Waking Up The Giants,Bounty On My Head
17,Drake,More Life,Get It Together
18,K'NAAN,Troubadour,Wavin' Flag - Coca-Cola® Celebration Mix
19,Lil Uzi Vert,Luv Is Rage 2,The Way Life Goes (feat. Oh Wonder)
20,Social House,Higher,Higher
21,Imagine Dragons,Roots,Roots
22,Charlie Heat,No Rain No Flowers,Sunshine
23,Sia,1000 Forms Of Fear (Deluxe Version),Elastic Heart
24,Rex Orange County,Pluto Projector,Pluto Projector
25,Leon Bridges,Coming Home,Lisa Sawyer
26,Kesha,Warrior (Expanded Edition),Die Young
27,Quinn XCII,Coffee,Coffee
28,Iris Temple,Your Nature,Your Nature
29,Ariana Grande,Sweetener,breathin
30,Rex Orange County,Loving Is Easy,Loving Is Easy
31,Panic! At The Disco,Death of a Bachelor,Death of a Bachelor
32,Maroon 5,Good Girl Gone Bad: Reloaded,If I Never See Your Face Again
33,XXXTENTACION,?,NUMB
34,King Princess,1950,1950
35,dvsn,SEPT 5TH,Hallucinations
36,OneRepublic,Waking Up,Secrets
37,Sia,This Is Acting (Deluxe Version),House On Fire
38,R3HAB,Rumors,Rumors - R3HAB & Skytech vs. Marvelus Fame Remix
39,Lennon Stella,"Love, me",La Di Da
40,The Script,The Script,Breakeven
41,Red Hot Chili Peppers,The Getaway,Feasting on the Flowers
42,EVAN GIIA,Switch Off,Switch Off
43,Ruel,Painkiller,Painkiller
44,Ariana Grande,Spanglish Favorites,The Way - Spanglish Version
45,Vance Joy,Nation of Two,Saturday Sun
46,Simon & Garfunkel,Sounds Of Silence,The Sound of Silence - Electric Version
47,OneRepublic,Connection,Connection
48,Beck,Colors,Dreams
49,Alexander 23,I Hate You So Much,I Hate You So Much
50,Jack Stauber,Pop Food,Buttercup
51,Glass Animals,How To Be A Human Being,Poplar St
52,Peachy!,Falling for U,Falling for U
53,The Shins,Wincing The Night Away,Phantom Limb
54,Niall Horan,Flicker,Slow Hands
55,Jack Johnson,On And On,Rodeo Clowns
56,Lost Kings,Phone Down (feat. Emily Warren),Phone Down (feat. Emily Warren)
57,Andrew McMahon in the Wilderness,Zombies On Broadway,Fire Escape
58,Phillip Phillips,The World From The Side Of The Moon,Home
59,Dennis Lloyd,Nevermind,Nevermind
60,Matt Maeson,Cringe,Cringe - Stripped
61,Jack Johnson,In Between Dreams,Good People
62,Post Malone,Hollywood's Bleeding,Staring At The Sun (feat. SZA)
63,Royse,Madness,Madness
64,half•alive,"Now, Not Yet",arrow
65,Alvaro Soler,Eterno Agosto,El Mismo Sol
66,Matoma,One in a Million,False Alarm
67,Weezer,Weezer (Green Album),Island In The Sun
68,R3HAB,Ain't That Why,Ain't That Why - Skytech Remix
69,Melborne,Big Racks.,Big Racks.
70,Dominic Fike,What Could Possibly Go Wrong,Superstar Sh*t
71,Rex Orange County,Apricot Princess,Sycamore Girl
72,Glass Animals,Tokyo Drifting,Tokyo Drifting (with Denzel Curry)
73,Avicii,The Days / Nights,The Nights
74,Lady Gaga,Joanne,Joanne
75,The Beatles,Rubber Soul,In My Life - Remastered 2009
76,Louis The Child,Kids At Play- EP,Ohhh Baby
77,Troye Sivan,Bloom,My My My!
78,Chance the Rapper,The Big Day,Do You Remember
79,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",i love you
80,Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Champagne Supernova - Remastered
81,Dominic Fike,What Could Possibly Go Wrong,Chicken Tenders
82,Grace VanderWaal,Just The Beginning,Moonlight
83,Little Image,WORTH IT,WORTH IT
84,Tame Impala,Currents,Yes I'm Changing
85,Flipp Dinero,Leave Me Alone,Leave Me Alone
86,Flume,Lockjaw,Drop The Game
87,Weezer,Pacific Daydream,Feels Like Summer
88,Yusuf / Cat Stevens,Tea for the Tillerman,Wild World
89,Jon Bellion,The Human Condition,Maybe IDK
90,AJR,The Click,Weak
91,The Head and the Heart,Let's Be Still,Homecoming Heroes
92,Robotaki,Together We're Screwed,Together We're Screwed
93,Lotus,Push It!,Push It! - Remix
94,Khalid,American Teen,8TEEN
95,Kacey Musgraves,Golden Hour,Space Cowboy
96,Still Woozy,Lately EP,Maybe She
97,Rag'n'Bone Man,Human (Deluxe),Skin
98,Radical Face,Ghost,"Welcome Home, Son"
99,Bruno Mars,Unorthodox Jukebox,When I Was Your Man
100,Eagles,The Very Best of the Eagles,Seven Bridges Road - Live; 2013 Remaster
101,Jon Bellion,Glory Sound Prep,JT
102,Cage The Elephant,Tell Me I'm Pretty,Cold Cold Cold
103,Macklemore,GEMINI,Good Old Days (feat. Kesha)
104,Yoke Lore,Goodpain,Beige
105,AJR,Neotheater,100 Bad Days
106,Glass Animals,Dreamland,Helium
107,Sublime,Sublime Greatest Hits,Doin' Time
108,The Head and the Heart,Signs of Light,Rhythm & Blues
109,Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,Upside Down
110,CeeLo Green,Kung Fu Panda,Kung Fu Fighting
111,Russ,Ain't Nobody Takin My Baby,Ain't Nobody Takin My Baby
112,Louis The Child,Big Time,Big Time - X Games Theme
113,Jukebox The Ghost,Off To The Races,Everybody's Lonely
114,H.E.R.,Hard Place,Hard Place
115,Quinn XCII,Second Time Around,Second Time Around
116,Desiigner,New English,Panda
117,MNEK,Colour,Colour
118,Jon Bellion,Glory Sound Prep,Couples Retreat
119,Camila Cabello,Real Friends,Real Friends
120,Post Malone,beerbongs & bentleys,Spoil My Night (feat. Swae Lee)
121,Tones And I,The Kids Are Coming,Dance Monkey
122,Alec Benjamin,These Two Windows,Must Have Been The Wind
123,U2,The Joshua Tree,Sweetest Thing
124,Post Malone,Stoney,I Fall Apart
125,Halsey,hopeless fountain kingdom,Strangers
126,Louis The Child,Kids At Play- EP,Interstellar
127,MisterWives,Our Own House,Vagabond
128,R. Kelly,Double Up,I'm a Flirt Remix (feat. T.I. & T-Pain) - Radio Version
129,Dua Lipa,Thinking 'Bout You,Thinking 'Bout You
130,Zara Larsson,Don't Worry Bout Me,Don't Worry Bout Me
131,Dua Lipa,Physical,Physical
132,Khalid,Free Spirit,Right Back
133,Dexys Midnight Runners,Come On Eileen / Dubious,Come On Eileen
134,Eagles,Hotel California,New Kid in Town - 2013 Remaster
135,Linkin Park,One More Light,Heavy (feat. Kiiara)
136,Quinn XCII,The Story of Us,One Day At A Time
137,Chet Faker,Thinking In Textures,No Diggity
138,The Weeknd,Starboy,I Feel It Coming
139,Carlie Hanson,Us,Us
140,Bleachers,Gone Now,Don't Take The Money
141,Lostboycrow,Happy New Year,Happy New Year
142,Noah Kahan,Hurt Somebody,Catastrophize
143,Snakehips,Don't Leave,Don't Leave
144,MisterWives,Our Own House,Our Own House
145,Matoma,One in a Million,Lonely (feat. MAX)
146,MGMT,Oracular Spectacular,Time to Pretend
147,Jerry Douglas,Traveler,The Boxer feat. Mumford & Sons and Paul Simon
148,Post Malone,Hollywood's Bleeding,Take What You Want (feat. Ozzy Osbourne & Travis Scott)
149,half•alive,3,Tip Toes
150,Stevie Wonder,Number 1's,Sir Duke
151,Jon Bellion,Translations Through Speakers,Waves Of Loneliness
152,The Beatles,The Beatles,Blackbird - Remastered 2009
153,La La Land Cast,La La Land,Another Day Of Sun
154,Azizi Gibson,Backward Books 2,Rain
155,Louis The Child,Here For Now,Free (with Drew Love)
156,Capital Cities,In A Tidal Wave Of Mystery,Love Away
157,Kygo,Golden Hour,Broken Glass
158,Ellie Goulding,Halcyon,Anything Could Happen
159,Khalid,Free Spirit,Twenty One
160,Hippie Sabotage,Options,Options
161,Young the Giant,Young The Giant,My Body
162,Kodaline,In A Perfect World,All I Want
163,Dominic Fike,Phone Numbers,Phone Numbers
164,Joey Pecoraro,Tired Boy,Tired Boy
165,Labrinth,Euphoria (Original Score from the HBO Series),We All Knew
166,Cardi B,Invasion of Privacy,I Like It
167,ayokay,The Shine (feat. Chelsea Cutler),The Shine (feat. Chelsea Cutler)
168,Bea Miller,aurora,S.L.U.T.
169,Still Woozy,Lately EP,Habit
170,Gavin DeGraw,Chariot,I Don't Want to Be
171,The Greeting Committee,I'm Afraid I'm Not Angry,Cry Baby
172,Bazzi,Soul Searching,Focus (feat. 21 Savage)
173,Lorde,Melodrama,Homemade Dynamite - REMIX
174,Mumford & Sons,Delta,Guiding Light
175,Dua Lipa,Dua Lipa,Kiss and Make Up
176,Kina,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw)
177,Coldplay,Orphans / Arabesque,Orphans
178,Foster The People,Torches,Pumped Up Kicks
179,G-Eazy,When It's Dark Out,Some Kind Of Drug (feat. Marc E. Bassy)
180,Louis The Child,World On Fire,World On Fire
181,The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Such Great Heights - Remastered
182,Bazzi,COSMIC,Star
183,Ariana Grande,"thank u, next",imagine
184,MAGIC GIANT,In The Wind,Set On Fire
185,Russ,There's Really A Wolf,Pull The Trigger
186,Louis The Child,Kids At Play- EP,The City (with Quinn XCII)
187,Russ,Just In Case,Nobody Knows
188,Michl,Better With You,Better With You
189,Jacob Banks,Fifty Shades Freed,Diddy Bop (x Louis The Child)
190,Daft Punk,Random Access Memories,Doin' it Right (feat. Panda Bear)
191,Sigrid,Raw,Schedules
192,Atlas Genius,When It Was Now,Trojans
193,Lostboycrow,Devil's in the Backseat,Devil's in the Backseat
194,John Mayer,Heavier Things,Clarity
195,Hoodie Allen,People Keep Talking,Won't Mind (feat. MAX)
196,Lake Street Dive,Free Yourself Up,Good Kisser
197,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",xanny
198,Ilan Bluestone,Group Therapy 315,Cosmic Feeling (ABGT315) - ilan Bluestone Club Mix
199,Flume,Skin,Never Be Like You (feat. Kai)
200,Twenty One Pilots,Blurryface,Heavydirtysoul
201,Cool Company,Lockjaw,Lockjaw - Cool Company Remix
202,Charlie Puth,Nine Track Mind,We Don't Talk Anymore (feat. Selena Gomez)
203,The Beatles,1,Hey Jude - Remastered 2015
204,ODESZA,A Moment Apart (Deluxe Edition),Just A Memory (feat. Regina Spektor)
205,The Weeknd,Blinding Lights,Blinding Lights
206,Alec Benjamin,Narrated For You,Gotta Be A Reason
207,The Wombats,Beautiful People Will Ruin Your Life,Turn
208,Arizona Zervas,ROXANNE,ROXANNE
209,Band of Horses,Everything All The Time,The Funeral
210,Coldplay,X&Y,Swallowed in the Sea
211,The Neighbourhood,I Love You.,Sweater Weather
212,Louis The Child,It's Strange (feat. K.Flay),It's Strange (feat. K.Flay)
213,Jon Bellion,The Human Condition,iRobot
214,EVAN GIIA,Stepping Stones,Stepping Stones
215,The Lumineers,The Lumineers,Submarines
216,BENEE,STELLA & STEVE,Find an Island
217,Bastille,Bad Blood,Flaws
218,Chicago,Chicago V,Saturday in the Park - 2002 Remaster
219,Jack Ü,Skrillex and Diplo present Jack Ü,Where Are Ü Now (with Justin Bieber)
220,Alec Benjamin,These Two Windows,Just Like You
221,Bea Miller,Not An Apology,Fire N Gold
222,Mat Kearney,CRAZYTALK,Kings & Queens
223,Co-Stanza,I Don't Mind,I Don't Mind
224,Dua Lipa,Dua Lipa,Begging
225,Camila Cabello,Crying in the Club,Crying in the Club
226,Coldplay,Ghost Stories,Magic
227,Cage The Elephant,Melophobia,Cigarette Daydreams
228,The Black Keys,Brothers,Tighten Up
229,Quinn XCII,The Story of Us,Worst
230,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",wish you were gay
231,Alexander 23,I'm Sorry I Love You,Sad
232,Lil Tecca,We Love You Tecca,Ransom
233,Quinn XCII,From Michigan With Love,Sad Still
234,Sleeping At Last,Masquerade,Masquerade
235,Daði Freyr,Think About Things,Think About Things
236,Lennon Stella,Three. Two. One.,Fear Of Being Alone
237,Bruno Mars,24K Magic,Versace on the Floor
238,Quinn XCII,The Story of Us,Fake Denim
239,Bryce Vine,The Fall,The Fall
240,BabyJake,Blue Cellophane,Blue Cellophane
241,Matoma,Lonely (feat. MAX),Lonely (feat. MAX)
242,Unknown Mortal Orchestra,Sex & Food,Hunnybee
243,Rex Orange County,Bcos U Will Never B Free,Corduroy Dreams
244,Young T & Bugsey,Don't Rush (feat. DaBaby),Don't Rush (feat. DaBaby)
245,Niall Horan,Flicker,On The Loose
246,Jon Bellion,The Human Condition,The Good In Me
